epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1419,0.61637,0.89383,0.95608,0.91067,0.9758,0.94188,0.77563,0.61703,0.66521,0.99117,0.00033156,0.00033156,0.0671755
2,130.552,0.6366,0.56912,1.0093,0.9521,0.99806,0.99385,0.85708,0.53939,0.52952,0.989,0.000651729,0.000651729,0.0341624
3,179.694,0.61913,0.54692,0.99751,0.99122,1,0.99449,0.867,0.55843,0.50878,1.01098,0.000958697,0.000958697,0.001136
4,228.668,0.56055,0.48453,0.97037,0.99684,0.99237,0.99487,0.87605,0.49473,0.44858,0.95186,0.0009406,0.0009406,0.0009406
5,277.049,0.53831,0.44253,0.95444,0.88094,0.90806,0.93415,0.82534,0.4711,0.56048,0.95398,0.0009208,0.0009208,0.0009208
6,323.617,0.516,0.42965,0.94253,0.99686,0.99808,0.99498,0.89879,0.44656,0.44126,0.92486,0.000901,0.000901,0.000901
7,372.277,0.50634,0.41454,0.93508,0.99629,0.99889,0.995,0.91358,0.41375,0.34057,0.91321,0.0008812,0.0008812,0.0008812
8,420.969,0.487,0.39624,0.92943,0.9958,1,0.995,0.91494,0.39767,0.33091,0.90973,0.0008614,0.0008614,0.0008614
9,468.997,0.4611,0.37454,0.91843,0.98879,1,0.995,0.89068,0.43343,0.34583,0.90415,0.0008416,0.0008416,0.0008416
10,515.875,0.46108,0.37213,0.91344,0.99461,1,0.995,0.91991,0.35964,0.32356,0.88324,0.0008218,0.0008218,0.0008218
11,564.8,0.43643,0.35107,0.89712,0.99446,1,0.995,0.9281,0.35339,0.30168,0.88173,0.000802,0.000802,0.000802
12,612.87,0.42733,0.34092,0.89599,0.99692,1,0.995,0.91949,0.39354,0.30776,0.88908,0.0007822,0.0007822,0.0007822
13,659.677,0.41004,0.32528,0.88245,0.99737,1,0.995,0.93889,0.33918,0.27906,0.86994,0.0007624,0.0007624,0.0007624
14,707.79,0.38392,0.31191,0.86721,0.99615,1,0.995,0.93908,0.33928,0.29193,0.86678,0.0007426,0.0007426,0.0007426
15,756.619,0.39292,0.31314,0.88049,0.995,1,0.995,0.95399,0.28597,0.2528,0.85482,0.0007228,0.0007228,0.0007228
16,804.653,0.38479,0.31051,0.88397,0.99755,1,0.995,0.94355,0.31481,0.25834,0.87407,0.000703,0.000703,0.000703
17,851.268,0.37491,0.30119,0.88081,0.9972,1,0.995,0.9501,0.2913,0.24025,0.85099,0.0006832,0.0006832,0.0006832
18,898.006,0.37312,0.29296,0.87319,0.99778,1,0.995,0.94269,0.32578,0.25754,0.87248,0.0006634,0.0006634,0.0006634
19,945.543,0.36374,0.28963,0.87141,0.99771,1,0.995,0.95879,0.29688,0.245,0.86124,0.0006436,0.0006436,0.0006436
20,993.65,0.3649,0.28076,0.86971,0.99757,1,0.995,0.95576,0.28501,0.22215,0.85096,0.0006238,0.0006238,0.0006238
21,1040.77,0.34771,0.27411,0.86587,0.99799,1,0.995,0.95599,0.29328,0.23585,0.8507,0.000604,0.000604,0.000604
22,1087.42,0.34181,0.27412,0.86211,0.99677,1,0.995,0.95626,0.28314,0.22723,0.8454,0.0005842,0.0005842,0.0005842
23,1134.59,0.35044,0.27251,0.86536,0.99747,1,0.995,0.96088,0.27242,0.22652,0.84587,0.0005644,0.0005644,0.0005644
